granularity,quantile,feature,importance
campaign,0.5,spend_roll_14d_std,216
campaign,0.5,roas_roll_14d_mean,218
campaign,0.5,clicks_roll_14d_mean,413
campaign,0.5,revenue_roll_30d_mean,364
campaign,0.5,revenue_roll_30d_std,158
campaign,0.5,spend_roll_30d_mean,282
campaign,0.5,spend_roll_30d_std,166
campaign,0.5,roas_roll_30d_mean,217
campaign,0.5,clicks_roll_30d_mean,284
campaign,0.5,revenue_momentum,243
campaign,0.5,spend_momentum,163
campaign,0.9,channel,100
campaign,0.9,campaign_type,16
campaign,0.9,campaign_name,174
campaign,0.9,spend,1812
campaign,0.9,clicks,659
campaign,0.9,impressions,285
campaign,0.9,daily_budget,159
campaign,0.9,month,48
campaign,0.9,day_of_week,57
campaign,0.9,week_of_year,144
campaign,0.9,quarter,3
campaign,0.9,is_weekend,0
campaign,0.9,roas,2288
campaign,0.9,cpc,439
campaign,0.9,cvr,503
campaign,0.9,budget_utilization,390
campaign,0.9,days_since_campaign_start,249
campaign,0.9,revenue_roll_7d_mean,797
campaign,0.9,revenue_roll_7d_std,1486
campaign,0.9,spend_roll_7d_mean,312
campaign,0.9,spend_roll_7d_std,368
campaign,0.9,roas_roll_7d_mean,387
campaign,0.9,clicks_roll_7d_mean,229
campaign,0.9,revenue_roll_14d_mean,302
campaign,0.9,revenue_roll_14d_std,318
campaign,0.9,spend_roll_14d_mean,218
campaign,0.9,spend_roll_14d_std,334
campaign,0.9,roas_roll_14d_mean,174
campaign,0.9,clicks_roll_14d_mean,181
campaign,0.9,revenue_roll_30d_mean,129
campaign,0.9,revenue_roll_30d_std,169
campaign,0.9,spend_roll_30d_mean,258
campaign,0.9,spend_roll_30d_std,221
campaign,0.9,roas_roll_30d_mean,160
campaign,0.9,clicks_roll_30d_mean,179
campaign,0.9,revenue_momentum,213
campaign,0.9,spend_momentum,228
